traitID,traitName,trait_class,broaderTerm,type_of_data,traitUnit,MaxAllowedValue,MinAllowedValue,factorLevels,traitDescription,extendedDescription,example,Source,
,Biotop_preference,environment,Habitat_preferences,factor,NA,NA,NA,,,,,,
,Ecology_Type,environment,habitat,factor,,,,,,,,,
,forest species,environment,Habitat_preferences,logical,,,,,,,,,
,grassland species,environment,Habitat_preferences,logical,,,,,,,,,
,micro-habitat,environment,Habitat_preferences,factor,,,,,,,,,
,tree-hole specialist,environment,Habitat_specialization ,logical,,,,,,,,,
,relict_species,environment,Habitat_specialization ,logical,,,,,"if dependent on pre-anthropogenic conditions (e.g. ""Urwald-Reliktarten""",,,,
,Occurence_max_Altitude,environment,altitude,numeric,m,9999,0,NA,highest elevation above sea level at which individuals have been observed,,250,,
,Occurence_min_Altitude,environment,altitude,numeric,m,9999,0,NA,lowest elevation above sea level at which individuals have been observed,,250,,
,Habitatcorrelations,environment,habitat,factor,,,,,,,,,
,Nature_Orientation,environment,habitat,factor,,,,,,,,,
,Niche,environment,habitat,factor,,,,,,,,,
,range of climatic zones,environment,habitat,numeric,,,,,,,,,
,Special habitats,environment,habitat,factor,,,,,,,,,
,Subtsratgilde,environment,habitat,factor,,,,,,,,,
,Urwaldreliktart,environment,habitat,logical,,,,,,,,,
,Humidity,environment,humidity,factor,,,,,,,,,
,landuse intensity,environment,landuse,,,,,,,,,,
,Light,environment,light,factor,,,,,,,,,
,oxygen requirements (in water),environment,oxygen,,,,,,,,,,
,Deadwood_dependent,environment,specialisation,logical,,,,,,,,,
,Substrate,environment,substrate,factor,,,,,,,,,
,Temperature,environment,temperature,factor,,,,,,,,,
,pronotum length/width ratio,feeding,body_size,numeric,,,,,,,,,
,diet,feeding,feeding_guild,character,,,,,,,,,
,feeding guild,feeding,feeding_guild,factor,,,,herbivore, detritivore, fungivore, predator, pariste, hyperparasite
,food source,feeding,feeding_guild,factor,,,,,,,,,
,trophic level,feeding,feeding_guild,numeric,,,,,,,,,
,Feeding mode,feeding,feeding_mode,factor,,,,extraintestinal, sucking, chewing,,,
,Hunting mode,feeding,feeding_mode,factor,,,,net building, foraging, grazing,,,
,Larval feeding breadth,feeding,larval_specialisation,factor,,,,,,,,,
,Tongue length,feeding,mouthpart_size,numeric,[mm],,,,,,,,
,Beutebindung,feeding,specialisation,factor,,,,,,,,,
,feeding specialization,feeding,specialisation,factor,,,,,,,,,
,Host,feeding,specialisation,factor,,,,,,,,,
,host specialisation,feeding,specialisation,factor,,,,,,,,,
,Host-or Prey (animals),feeding,specialisation,factor,,,,,,,,,
,number of resource species,feeding,specialisation,integer,,,,,,,,,
,Pflanzenbindung,feeding,specialisation,factor,,,,,,,,,
,Plants,feeding,specialisation,factor,,,,,,,,,
,Stable Isotopes,feeding,stoichiometry,numeric, [delta per mill],,,,,,,,
,Egg_placement,life-history,reproduction_mode,factor,,,,,where eggs are placed (e.g. on the ground, at vegetation),,,
,clutch size,life-history,clutch_size,numeric,,,,,number of eggs in a clutch,,,,
,Nr_eggs,life-history,clutch_size,numeric,,,,,,,,,
,Nr_Ovariols,life-history,clutch_size,numeric,,,,,,,,,
,egg length,life-history,egg_size,numeric,,,,,,,,,
,egg volume,life-history,egg_size,numeric,,,,,,,,,
,egg weight,life-history,egg_size,numeric,,,,,,,,,
,Egg_biomass,life-history,egg_size,factor,,,,,,,,,
,average life span,life-history,lifespan,numeric,[d],,,,,,,,
,maximum lifespan,life-history,lifespan,numeric,,,,,,,,,
,Age_at_maturity,life-history,maturation,numeric,month,999,0,NA,the age in months at which an individual's physiological development is complete,Weeks and days are expressed as fractions of an an average month (i.e. 30 days),0.5,,
,Age_at_reproduction,life-history,maturation,numeric,month,999,0,NA,the age in months at which an individual starts reproducing,Weeks and days are expressed as fractions of an an average month (i.e. 30 days),0.5,,
,nest habitat specialisation,life-history,nesting_habitat,factor,,,,,,,,,
,Egg_development_time,life-history,ontogeny,factor,,,,,,,,,
,mode of developmental stages,life-history,ontogeny,factor,,,,,,,,,
,Nr_larval_stages,life-history,ontogeny,numeric,,,,,,,,,
,number of developmental stages,life-history,ontogeny,numeric,,,,,,,,,
,generation time,life-history,parity,numeric,,,,,,,,,
,reproductive mode,life-history,reproduction_mode,factor,,,,,,,,,
,social structure,life-history,sociality,factor,,,, (single or more queens,,,,,
,generations per year / Voltinism,life-history,voltinism,numeric,,,,,,,,,
,fecundity,life-history,reproduction_mode,,,,,,,,,,
,Eupter Vfl=Hfl,morphology,wing_type,logical,,,,,,,,,
,hyopter,morphology,wing_type,logical,,,,,,,,,
,macropter,morphology,wing_type,logical,,,,,,,,,
,Parapter Hfl > Vfl,morphology,wing_type,logical,,,,,,,,,
,submacropter,morphology,wing_type,logical,,,,,,,,,
,Antenna_segment1_length,morphology,antenna_size,numeric,cm,,,,,,,,
,Antenna_segment2_length,morphology,antenna_size,numeric,cm,,,,,,,,
,Antenna_segment3_length,morphology,antenna_size,numeric,cm,,,,,,,,
,Antenna_segment4_length,morphology,antenna_size,numeric,cm,,,,,,,,
,Antenna_segment5_length,morphology,antenna_size,numeric,cm,,,,,,,,
,Antenna_segment6_length,morphology,antenna_size,numeric,cm,,,,,,,,
,antenna_type,morphology,antenna_type,factor,,,,,,,,,
,Body height,morphology,body_size,numeric,,,,,,,,,
,Body length,morphology,body_size,numeric,[cm],,,,,,,,
,Body mass,morphology,body_size,numeric,[g],,,,,,,,
,body volume,morphology,body_size,numeric,,,,,,,,,
,Body width,morphology,body_size,numeric,,,,,,,,,
,length/width ratio (relative body size),morphology,body_size,numeric,[],,,,,,,,
,max body length,morphology,body_size,numeric,,,,,,,,,
,min body length,morphology,body_size,numeric,,,,,,,,,
,pronotum width,morphology,body_size,numeric,[cm],,,,,,,,
,Relative body size,morphology,body_size,numeric,,,,,,,,,
,Size_class,morphology,body_size,factor,,,,,,,,,
,eye_area,morphology,eye_morphology,numeric,,,,,,,,,
,eye_number,morphology,eye_morphology,numeric,,,,,,,,,
,Eye_width,morphology,eye_morphology,numeric,cm,,,,,,,,
,General_Body_pubescence,morphology,hairiness,factor,,,,,,,,,
,head width,morphology,head_size,numeric,[cm],,,,,,,,
,Intertegular span,morphology,head_size,numeric,[cm],,,,,,,,
,Femur length,morphology,leg_size,numeric,[cm],,,,,,,,
,front tibia length,morphology,leg_size,numeric,[cm],,,,,,,,
,Front_Femur_length,morphology,leg_size,numeric,[cm],,,,,,,,
,Front_Femur_width,morphology,leg_size,numeric,[cm],,,,,,,,
,Front_Tibia_length,morphology,leg_size,numeric,[cm],,,,,,,,
,hind leg length,morphology,leg_size,numeric,[cm],,,,,,,,
,Hind_Femur_length,morphology,leg_size,numeric,[cm],,,,,,,,
,Hind_Femur_width,morphology,leg_size,numeric,[cm],,,,,,,,
,Hind_Tibia_length,morphology,leg_size,numeric,[cm],,,,,,,,
,length of hind tibia,morphology,leg_size,numeric,,,,, (relative leg lenth - Length hind tibia / Weber´s length),,,,
,Mid_Tibia_length,morphology,leg_size,numeric,[cm],,,,,,,,
,relative leg length,morphology,leg_size,numeric,,,,,,,,,
,Rostrum length,morphology,mouthpart_size,numeric,,,,,,,,,
,Rostrum length/width ratio,morphology,mouthpart_size,numeric,,,,,,,,,
,Rostrum width,morphology,mouthpart_size,numeric,,,,,,,,,
,Thorax length (Weber´s length),morphology,thorax_size,numeric,[mm],,,,,,,,
,Thorax width,morphology,thorax_size,numeric,[mm],,,,,,,,
,elytra length,morphology,wing_size,numeric,[mm],,,,,,,,
,Front_wing_length,morphology,wing_size,numeric,[cm],,,,,,,,
,Front_wing_width,morphology,wing_size,numeric,[cm],,,,,,,,
,wing area,morphology,wing_size,numeric,[mm^2],,,,,,,,
,Wing length,morphology,wing_size,numeric,[mm],,,,,,,,
,wing span,morphology,wing_size,numeric,mm,,,,,,,,
,Wing width,morphology,wing_size,numeric,,,,,,,,,
,Wing_appearance,morphology,wing_size,factor,,,,,,,,,
,apter,morphology,wing_type,logical,,,,,,,,,
,brachypter,morphology,wing_type,logical,,,,,,,,,
,WingDimorphism_Females,morphology,wing_type,factor,,,,,,,,,
,WingDimorphism_Males,morphology,wing_type,factor,,,,,,,,,
,drought resistance,physiology,desiccation_resistance,,,,,,,,,,
,water loss rate,physiology,desiccation_resistance,,,,,,,,,,
,larval inundation tolerance,physiology,inundation_tolerance,,,,,,,,,,
,respiration,physiology,metabolic_rate,,,,,,,,,,
,color_preference,pollination,color_preference,,,,,,,,,,
,flower_specialisation,pollination,flower_specialisation,,,,,,,,,,
,Flower_visitor,pollination,flower_visitor,,,,,,,,,,
,nectarivore,pollination,nectarivore,,,,,,,,,,
,Flower_visitor,pollination,specialisation,logical,,,,,,,,,
